,date,confirm,suspect,dead,heal
0,01.13,41,0,1,0
1,01.14,41,0,1,0
2,01.15,41,0,2,5
3,01.16,45,0,2,8
4,01.17,62,0,2,12
5,01.18,198,0,3,17
6,01.19,275,0,4,18
7,01.20,291,54,6,25
8,01.21,440,37,9,25
9,01.22,571,393,17,25
10,01.23,830,1072,25,34
11,01.24,1287,1965,41,38
12,01.25,1975,2684,56,49
13,01.26,2744,5794,80,51
14,01.27,4515,6973,106,60
15,01.28,5974,9239,132,103
16,01.29,7711,12167,170,124
17,01.30,9692,15238,213,171
18,01.31,11791,17988,259,243
19,02.01,14380,19544,304,328
20,02.02,17236,21558,361,475
21,02.03,20471,23214,425,632
22,02.04,24363,23260,491,892
23,02.05,28060,24702,564,1153
24,02.06,31211,26359,637,1542
25,02.07,34598,27657,723,2052
26,02.08,37251,28942,812,2651
